action_id,action_date,action_date_display,action_type,subject,authority,summary,outcome_context,related_motion_ids,source_url,status
MDEC23-1,2023-11-06,"Nov. 6, 2023",Delegated authority,CAO responsibilities,Municipal Act s. 284.13,Delegated to Council the authority to establish the responsibilities of the Chief Administrative Officer and pass the related by-law.,"Council later approved By-law 23-113 in a combined by-law vote on Nov. 27, 2023.",2023-11-27-cao-bylaw-23-113,https://www.peterborough.ca/media/05bm2e1l/mdec23-1.pdf,active
MDEC23-2,2023-11-01,"Nov. 1, 2023",Budget direction,2024 draft budget direction,Municipal Act ss. 284.3 and 284.16,Directed the Treasurer to prepare and present the draft 2024 operating and capital budget and provide updates to the Mayor.,Established the strong-mayor budget process for the 2024 budget.,,https://www.peterborough.ca/media/qqub5eva/mdec23-2.pdf,completed
MDEC23-3,2023-12-11,"Dec. 11, 2023",Budget proposal,Propose the 2024 budget,Municipal Act s. 284.16; O. Reg. 530/22 s. 7,Formally proposed the City of Peterborough 2024 Operating and Capital Budget and Forecast.,Council budget amendments considered at the Dec. 11 meeting fall within the mayor-proposed budget process.,2023-12-11-strong-mayor-shorten-budget-period,https://www.peterborough.ca/media/smqli4ui/mdec23-3.pdf,completed
MDEC24-1,2024-04-08,"Apr. 8, 2024",Delegated authority,Appoint IPGM Commissioner,Municipal Act s. 284.13(1)2; O. Reg. 530/22 s. 6(2),"Delegated to Council the authority to appoint the Commissioner of Infrastructure, Planning and Growth Management for the April 8 meeting.",Appointment was handled through the Council/closed-session process; a separate recorded public roll-call tied to the appointment has not been added to this archive.,,https://www.peterborough.ca/media/cdejddka/strongmayordecision_mdec24-1.pdf,completed
MDEC24-2,2024-06-03,"Jun. 3, 2024",Delegated authority,Appoint IPGM Commissioner,Municipal Act s. 284.13(1)2; O. Reg. 530/22 s. 6(2),"Again delegated to Council the authority to appoint the Commissioner of Infrastructure, Planning and Growth Management for the June 3 meeting.",Appointment was handled through the Council/closed-session process; a separate recorded public roll-call tied to the appointment has not been added to this archive.,,https://www.peterborough.ca/media/lshh03ll/mdec24-2-june-3-2024.pdf,completed
MDEC24-3,2024-09-16,"Sep. 16, 2024",Delegated authority,Appoint Municipal Operations Commissioner,Municipal Act s. 284.13(1)2; O. Reg. 530/22 s. 6(2),Delegated to Council the authority to appoint the Commissioner of Municipal Operations.,Council approved the related appointment direction 10-0 at the Sept. 16 special meeting.,2024-09-16-municipal-operations-commissioner,https://www.peterborough.ca/media/nlndyknm/mdec24-3.pdf,completed
MDEC24-4,2024-11-04,"Nov. 4, 2024",Staff/legal direction,Appeal 654-656 Stewart Street decision,Municipal Act s. 284.3(b),Directed City legal/planning staff to initiate an Ontario Land Tribunal appeal of a Committee of Adjustment refusal involving a proposed six-unit building.,This direction was rescinded ten days later by MDEC24-5 after the property owners filed their own appeal.,,https://www.peterborough.ca/media/s0hjb1zg/mayor-decision-4.pdf,rescinded
MDEC24-5,2024-11-14,"Nov. 14, 2024",Staff/legal direction,Rescind City appeal; participate if required,Municipal Act s. 284.3(b),Rescinded MDEC24-4 and directed staff to assist the OLT if summoned in the owners’ appeal.,Superseded MDEC24-4.,,https://www.peterborough.ca/media/5yzpijss/mayor-decision-5.pdf,active/completed
MDEC24-6,2024-12-09,"Dec. 9, 2024",Budget proposal / delegation,Specific 2025 operating and capital budget items,Municipal Act s. 284.16; O. Reg. 530/22 s. 7,Proposed specific 2025 operating and capital budget items and delegated the decision on those items to Council for Dec. 9.,Part of the 2025 strong-mayor budget process; the broader budget process continued into January/February 2025.,,https://www.peterborough.ca/media/4m4btpe4/mdec24-6-mayoral-decision.pdf,completed
MDEC25-1,2025-02-03,"Feb. 3, 2025",Provincial-priority by-law proposal,Brock Mission transitional housing at 738 Chemong Road,Municipal Act ss. 284.3 and 284.11.1(2),Directed staff to prepare a zoning amendment and site-plan-control exemption for a transitional-housing project and bring the proposal to Council under strong-mayor provincial-priority authority.,On Feb. 24 both by-laws carried 4-7 because a mayor-proposed provincial-priority by-law passes with more than one-third of Council voting in favour.,2025-02-24-brock-general-strong-mayor|2025-02-24-brock-council-strong-mayor,https://www.peterborough.ca/media/uzgbvgeu/strong-mayor-powers-decision-mdec25-1.pdf,active/completed
MDEC25-2,2025-04-01,"Apr. 1, 2025",Staff/legal direction,Defend Brock Mission by-laws in court,Municipal Act s. 284.3(b),Directed City lawyers and staff to oppose a proposed court challenge to By-laws 25-051 and 25-052 and report periodically to Council.,Follow-on strong-mayor direction arising from MDEC25-1 and the Feb. 24 by-law votes.,,https://www.peterborough.ca/media/wbnb11lt/mdec25-2-mayoral-decision.pdf,active
MDEC25-3,2025-05-30,"May 30, 2025",Budget direction,2026 draft budget direction,Municipal Act ss. 284.3 and 284.16,"Directed the Treasurer to prepare the 2026 draft budget, maintain current service levels with costing adjustments, and include an anticipated 10% Police Services increase due to legislative requirements.",Established the mayor-directed framework for the 2026 draft budget; Council deliberations before the formal proposal were recommendations to the Mayor.,,https://www.peterborough.ca/media/jcjb1udt/mdec-may-30-2025.pdf,completed
MDEC25-4,2025-12-08,"Dec. 8, 2025",Budget proposal,Propose the 2026 budget,Municipal Act s. 284.16; O. Reg. 530/22 s. 7,Formally proposed the 2026 Operating and Capital Budget and Forecast.,The proposed budget reflected Council recommendations made during the draft-budget process; the statutory amendment/veto/override framework then applied.,2025-12-08-strong-mayor-shorten-budget-period,https://www.peterborough.ca/media/jvshqde0/strong-mayor-powers-dec-2025.pdf,completed
