source_id,source_type,fiscal_year,document_name,version_hint,authority,canonical_url,status,notes
city-budget-index,budget_index,,Budget Documents and Financial Reports,current,City of Peterborough,https://www.peterborough.ca/council-city-hall/city-budget/budget-documents-and-financial-reports/,active,Canonical index for historical budget books and financial reports
budget-2026,budget_book,2026,2026 Budget Book,final,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/21lhmi5p/budget-book-2026-final.pdf,active,Filename explicitly says final
budget-2025,budget_book,2025,2025 Budget Book,draft_in_filename,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/qdynmy1j/budget-book-2025-draft-webversion.pdf,active,City historical page calls this the 2025 Budget book; final adoption changes must be verified before labelling adopted
budget-2024,budget_book,2024,2024 Budget Book,draft_in_filename,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/3orlt1it/2024-budget-highlights-draft-webversion.pdf,active,City historical page links this under 2024 Budget; verify detail/final status
budget-2023-operating,budget_operating,2023,2023 Operating Budget Details,recommended_draft,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/4xgnhf1i/2023-operating-book-draft2-1.pdf,active,Source labels values as 2023 Recommended and 2022 Approved
budget-2023-capital,budget_capital,2023,2023-2032 Capital Budget Details,draft,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/mkuck2sw/2023-capital-book-draft-1.pdf,active,Historical budget page source
budget-2022-operating,budget_operating,2022,2022 Operating Budget Details and User Fees and Charges,approved,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/b4lpdozi/2022_operating_book_-_approved_final-ua.pdf,active,Filename and cover explicitly say approved
budget-2022-capital,budget_capital,2022,2022-2031 Capital Budget Details,approved,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/n3qpiu0g/2022_capital_book_-_approved_final-ua.pdf,active,Filename and cover explicitly say approved
financial-2024,audited_financial_statements,2024,2024 Consolidated Financial Statements,audited_actual,City of Peterborough,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/q2sbfros/city-of-ptbo-2024-financial-statements-redacted.pdf,active,Audited by Baker Tilly; useful for budget-vs-actual and long-term financial context
city-budget-main,budget_portal,,City Budget,current,City of Peterborough,https://www.peterborough.ca/council-city-hall/city-budget/,active,Links OpenBook and current budget pages
openbook,budget_visualization,,OpenBook budget tool,current,City of Peterborough,https://peterborough.openbook.questica.com/,active,Secondary structured/interactive view; official budget books remain documentary authority
council-meetings,council_minutes,,Council Meetings and agenda/minutes archive,current,City of Peterborough,https://www.peterborough.ca/council-city-hall/mayor-and-council/council-meetings/,active,Primary discovery point for agendas minutes and recordings
council-members,council_members,,Mayor and Council,current,City of Peterborough,https://www.peterborough.ca/council-city-hall/mayor-and-council/,active,Authoritative current member and ward roster
council-june-22-2026,council_budget_report,2027,"City Council overview package for June 22, 2026",preliminary_2027_budget,City of Peterborough,https://www.peterborough.ca/news/posts/city-council-meeting-overview-package-for-june-22-2026/,active,Identifies $3M 2027 base-budget correction from one-time 2026 Legacy reserve use
budget-2026-adopted,budget_adoption_release,2026,City of Peterborough 2026 Budget Adopted,adopted,City of Peterborough,https://www.peterborough.ca/news/posts/city-of-peterborough-2026-budget-adopted/,active,Confirms additional $3M Legacy Income Retention reserve use reduced 2026 tax requirement by 1.32%
minutes-2025-budget-general,council_minutes,2026,General Committee Minutes - 2026 Budget Deliberations,recorded_votes,City of Peterborough,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,active,"Official recorded votes from November 17-18, 2025 budget deliberations"
minutes-2024-budget-general,council_minutes,2025,General Committee Minutes - 2025 Budget Deliberations,recorded_votes,City of Peterborough,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,active,"Official recorded votes from November 18-19, 2024 budget deliberations"
minutes-2025-homelessness-general,council_minutes,2026,General Committee Minutes - Homelessness Winter Response,recorded_votes,City of Peterborough,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40278,active,"Official recorded votes from June 23, 2025 General Committee"
minutes-2025-homelessness-council,council_minutes,2026,City Council Minutes - Homelessness Winter Response,recorded_votes,City of Peterborough,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40293,active,"Official final Council votes following June 23, 2025 General Committee"
