domain_id,metric_id,metric_label,period,value,value_display,unit,value_qualifier,directionality,scope,source_id,source_basis,status,context
housing_growth,housing_progress,Housing progress,2023,506,506,homes,,higher,City of Peterborough,housing-progress-2026,Annual housing progress reported by City,verified,City reports 147% of the provincial target.
housing_growth,housing_progress,Housing progress,2024,294,294,homes,,higher,City of Peterborough,housing-progress-2026,Annual housing progress reported by City,verified,City reports 75% of the provincial target.
housing_growth,housing_progress,Housing progress,2025,545,545,homes,,higher,City of Peterborough,housing-progress-2026,Annual housing progress reported by City,verified,City reports 116% of the provincial target.
housing_growth,housing_target,Housing target,2023,345,345,homes,,context,City of Peterborough,housing-progress-2026,Provincial annual housing target,verified,Target assigned to Peterborough for 2023.
housing_growth,housing_target,Housing target,2024,392,392,homes,,context,City of Peterborough,housing-progress-2026,Provincial annual housing target,verified,Target assigned to Peterborough for 2024.
housing_growth,housing_target,Housing target,2025,470,470,homes,,context,City of Peterborough,housing-progress-2026,Provincial annual housing target,verified,Target assigned to Peterborough for 2025.
transit_outcomes,adult_ridership_yoy,Adult ridership change,2025,19,+19%,percent,,higher,City of Peterborough,quarterly-financial-2025-q3,January-September 2025 versus the same period in 2024,verified,"Adult ridership was up 53,900 trips through September 30."
transit_outcomes,transit_ridership,Total transit ridership,2018,4973571,"4,973,571",rides,,higher,City of Peterborough,transit-historical-dc,City-reported annual boardings across conventional and specialized service,verified,Historical reference point from the City development-charges transit service history.
transit_outcomes,transit_ridership,Total transit ridership,2023,3205294,"3,205,294",rides,,higher,City of Peterborough,transit-dc-study-2024,2023 overall ridership across all modes,verified,More than 99% of 2023 ridership occurred on conventional buses.
transit_outcomes,transit_ridership,Total transit ridership,2025,3700000,3.7M+,rides,over,higher,City of Peterborough,transit-cuta-2025,2025 City-reported total rides,verified,"City reported more than 3.7 million rides and CUTA recognition for ridership among systems serving populations under 100,000."
police_outcomes,cma_crime_severity_index,Peterborough CMA Crime Severity Index,2021,64.8,64.8,index,,lower,Peterborough Census Metropolitan Area,statcan-csi-2021,Statistics Canada police-reported Crime Severity Index by census metropolitan area,verified,Regional context series; the CMA is broader than the Peterborough Police Service jurisdiction.
police_outcomes,cma_crime_severity_index,Peterborough CMA Crime Severity Index,2022,64.0,64.0,index,,lower,Peterborough Census Metropolitan Area,statcan-csi-2022,Statistics Canada police-reported Crime Severity Index by census metropolitan area,verified,Regional context series; the CMA is broader than the Peterborough Police Service jurisdiction.
police_outcomes,cma_crime_severity_index,Peterborough CMA Crime Severity Index,2023,60.2,60.2,index,,lower,Peterborough Census Metropolitan Area,statcan-csi-2023,Statistics Canada police-reported Crime Severity Index by census metropolitan area,verified,Regional context series; the CMA is broader than the Peterborough Police Service jurisdiction.
police_outcomes,cma_crime_severity_index,Peterborough CMA Crime Severity Index,2024,61.3,61.3,index,,lower,Peterborough Census Metropolitan Area,statcan-csi-2024,Statistics Canada police-reported Crime Severity Index by census metropolitan area,verified,Regional context series; the CMA is broader than the Peterborough Police Service jurisdiction.
police_outcomes,cma_crime_severity_index,Peterborough CMA Crime Severity Index,2025,57.3,57.3,index,,lower,Peterborough Census Metropolitan Area,statcan-csi-2025,Statistics Canada police-reported Crime Severity Index by census metropolitan area,verified,Regional context series; the CMA is broader than the Peterborough Police Service jurisdiction.
police_outcomes,community_first_arrests,Community F.I.R.S.T. arrests,2024,464,464,arrests,,context,PPS service area,police-annual-2024,Community F.I.R.S.T. first-year activity,verified,Output measure; not equivalent to crimes prevented.
police_outcomes,community_first_calls,Community F.I.R.S.T. calls for service,2024,2733,"2,733",calls,,context,PPS service area,police-annual-2024,Community F.I.R.S.T. first-year activity,verified,Pilot/unit began in January 2024.
police_outcomes,community_first_diversions,Community F.I.R.S.T. diversions,2024,11,11,diversions,,context,PPS service area,police-annual-2024,Community F.I.R.S.T. first-year activity,verified,Output measure.
police_outcomes,community_first_property,Returned/recovered property,2024,64000,$64K+,CAD,over,context,PPS service area,police-annual-2024,Community F.I.R.S.T. first-year activity,verified,"Annual report states more than $64,000 returned property."
police_outcomes,crime_severity_index,Crime Severity Index,2024,73.79,73.79,index,,lower,PPS service area,police-budget-2026,2024 Crime Severity Index shown in PPS 2026 budget presentation,verified,"CSI is a community crime measure, not a direct measure of police productivity."
infrastructure_outcomes,capital_shortfall_backlog,Average annual capital shortfall including renewal backlog,2025,132000000,$132M/yr,CAD_per_year,,lower,City assets,asset-plan-2025,2025 Asset Management Plan 10-year projection,verified,Projected average annual shortfall to eliminate renewal backlog while delivering proposed levels of service and planned growth.
infrastructure_outcomes,capital_shortfall_service,Average annual capital shortfall to sustain proposed levels of service,2025,26000000,$26M/yr,CAD_per_year,,lower,City assets,asset-plan-2025,2025 Asset Management Plan 10-year projection,verified,Projected average annual shortfall to deliver proposed levels of service and planned growth.
infrastructure_outcomes,high_risk_assets,High-risk City assets,2023,788000000,$788M,CAD,,lower,City assets,asset-management-current,Current Asset Management summary,verified,High-risk classification considers condition and consequence of failure.
infrastructure_outcomes,road_good_very_good,Roads & related assets rated good/very good,2023,43,43%,percent,,higher,City assets,asset-plan-2024,2023 condition ratings in 2024 Asset Management Plan,verified,Derived from 17% Good plus 26% Very Good by replacement value.
infrastructure_outcomes,road_lane_preserved,Road lane-kilometres preserved,2025,91.1,91.1 km,lane_km,,context,City roads,ipgm-highlights-2025,City 2025 annual highlights,verified,"Output measure: work delivered, not proof that overall road condition improved."
infrastructure_outcomes,road_lane_reconstructed,Road lane-kilometres reconstructed,2025,2.25,2.25 km,lane_km,,context,City roads,ipgm-highlights-2025,City 2025 annual highlights,verified,"Output measure: work delivered, not a condition outcome."
infrastructure_outcomes,road_poor_very_poor,Roads & related assets rated poor/very poor,2023,28,28%,percent,,lower,City assets,asset-plan-2024,2023 condition ratings in 2024 Asset Management Plan,verified,Derived from 18% Poor plus 10% Very Poor by replacement value.
infrastructure_outcomes,road_replacement_value,Roads & related asset replacement value,2023,1400000000,$1.4B,CAD,,context,City assets,asset-management-current,Current State of Infrastructure summary using 2023 valuation,verified,Approximate replacement value.
homelessness_outcomes,rgi_housed,Households moved into RGI housing,2022,80,80,households,,higher,Peterborough City and County,housing-progress-2022,2022 Housing & Homelessness Progress Report,verified,Flow into RGI social housing during 2022.
homelessness_outcomes,rgi_housed,Households moved into RGI housing,2023,78,78,households,,higher,Peterborough City and County,housing-progress-2023,2023 Housing & Homelessness Progress Report,verified,Flow into RGI housing during 2023.
homelessness_outcomes,rgi_wait_time,Average wait for households remaining on RGI waitlist,2022,6,6.0 years,years,,lower,Peterborough City and County,housing-needs-2025,2022 comparator cited in City Housing Needs Assessment,verified,Average for households remaining on the centralized waitlist.
homelessness_outcomes,rgi_wait_time,Average wait for households remaining on RGI waitlist,2023,7.3,7.3 years,years,,lower,Peterborough City and County,housing-progress-2023,2023 Housing & Homelessness Progress Report,verified,Average wait increased from 2022.
homelessness_outcomes,rgi_waitlist,Households on centralized RGI waitlist,2021,1541,"1,541",households,,lower,Peterborough City and County,housing-progress-2022,2022 Housing & Homelessness Progress Report comparator,verified,Community-housing waitlist administered by the City as Service Manager.
homelessness_outcomes,rgi_waitlist,Households on centralized RGI waitlist,2022,1848,"1,848",households,,lower,Peterborough City and County,housing-progress-2023,2022 comparator in 2023 Housing & Homelessness Progress Report,verified,Community-housing waitlist administered by the City as Service Manager.
homelessness_outcomes,rgi_waitlist,Households on centralized RGI waitlist,2023,1926,"1,926",households,,lower,Peterborough City and County,housing-progress-2023,2023 Housing & Homelessness Progress Report,verified,Waitlist increased from 2022.
police_outcomes,cma_crime_rate,Peterborough CMA police-reported crime rate,2024,5368,"5,368",per_100k,,lower,Peterborough Census Metropolitan Area,statcan-csi-2024,Statistics Canada police-reported crime rate by census metropolitan area,verified,2024 comparator for the latest annual crime-rate reading.
police_outcomes,cma_crime_rate,Peterborough CMA police-reported crime rate,2025,5385,"5,385",per_100k,,lower,Peterborough Census Metropolitan Area,statcan-csi-2025,Statistics Canada police-reported crime rate by census metropolitan area,verified,"Crime rate increased about 1% from 2024 even while CSI fell 6%, meaning reported crime volume and severity moved differently."
homelessness_outcomes,people_experienced_homelessness,People who experienced homelessness,2024,803,803,people,minimum,lower,Peterborough City and County service system,homelessness-system-2026,City HIFIS/service-system count reported in 2026 winter shelter planning,verified,City reports at least 803 individuals experienced homelessness in 2024.
homelessness_outcomes,people_experienced_homelessness,People who experienced homelessness,2025,932,932,people,minimum,lower,Peterborough City and County service system,homelessness-system-2026,City HIFIS/service-system count reported in May 2026 winter shelter planning,verified,"City reports a minimum of 932 individuals experienced homelessness in 2025, 16% more than 2024."
homelessness_outcomes,emergency_shelter_beds,Emergency shelter / overnight capacity,2026,127,127 beds,beds,,context,Peterborough shelter system,homelessness-system-2026,Winter Shelter Response Plan reported to Council in May 2026,verified,"Current capacity context, not an outcome. City says demand continues to exceed the 127-bed system."
